HolderAddress,Balance in DRC
0x2d4f0e6aa79cf6bc718d62a32484cf881d6e9fad,12191
0xcce8d59affdd93be338fc77fa0a298c2cb65da59,12116
0xbc2ca74e88e0d65aeee35e233eea327e08b9653f,12055
0xdc494b679205d9cd593242061aacc8070d70c07a,12001
0x49033e7e8c5522bbcbb72ee24ec0a2f65377d021,11793
0x7fc13d607e5341a2047efb8af59733b3619bae2c,11790
0x6e3ecf0292677c8479b89781586c834d01e8ba06,11706
0x3742ef58ac76b6123f541c61d3a0add47c555f14,11660
0xd8cc6a4fcf95e9957f1efb5e0216744a06a77d8d,11176
0x755d5baccd2207975425ed4832a1d31afad1fc82,10800
0xcf137f1d7572ad2072d05fcaa41a6787d22529f9,10800
0x353cee28a36c64bdc71c69a8341693713c85e30c,10534
0xe891cb58a18118c0963f13ce59dc190d8a6e4a7b,10451
0xf701771ff69331009dc788ed9c802ef4d1a99132,10437
0x39a07c8f86ad67f75023df75ce7261508a99c52a,10416
0x83da1f49801098613f9f552575c965b2621c847e,10039
0xf098c4c3c318a95ba98e108a25d8109847670e59,10010
0x90ea8008d47a8f4adb27e4797870e90827a8a24a,10004
0xd12da0a3cbaec0f1e13cfa7ca91f4439bec6e8d1,10002
0x3f3e305c4ad49271ebda489dd43d2c8f027d2d41,10000
0x41e3faab16624921d2b43f2c82acfac0e6240a15,10000
0x5fb06990683e6a57ce9608702454ee55d30fb0d3,10000
0x9d722e929d96ffb318577dc37e5cd54b12ef5171,10000
0xd1728ee38c0fe12f4b7d7a1e30b038bf01e2c3a5,9971
0x547e5d8f77c0af4e014d442ef6bb38b317ef76ab,9933
0x1541eaffc4fdeccdd73082b3d6e94639b98d75b6,9900
0xf6489fe9a66a356a3a99ad12d4fe592b082a21bb,9896
0xf51574acea2319e7d04532a080bf06100aabfc64,9893
0x022766b23fef0f84b3c654e954141b0b4e38005c,9850
0x248495fc69081e311cae6f3c04ca2849fee2edce,9799
0x4b68b5a0cfc1fa1a85f6b3c0db33f546b6cad57c,9797
0x0b6901cae6e3c9dbbb5f089255c03ab02d0afe32,9666
0x39eff87ab904bcc024f4022038f986dadeb70fd6,9665
0x72da8965714cb6fc9da9d0997b3cf00d3230f681,9542
0x81c2203142494e48d7a5f2e15ccdbfa061e99c7c,9525
0xca23a26b289ec053a3aa198f7cfb2ce4efe9859c,9482
0x421a9654c9b65c4138fe9b1e613bddef92b6507d,9426
0x0307e77d70db8c126989b6aa7e610bf029be56ec,9050
0xbe908956d5ec031fa0eb24bdb57c942a89c77907,9000
0x492da4ff9cfe9c8f74fc4c99699b6ec1c6794861,8975
0x01c45777dfb001bc3c757c780f96cd7a4009a2d4,8975
0x28378630bd090d3c10c846d82a0cee73b4db6447,8971
0x54cf8930796e1e0c7366c6f04d1ea6ad6fa5b708,8712
0x484f247670764fd55a17de3aa499cbeb92f8d3ea,8500
0x1c5d4d16c8d809c3fbd9ecb86785b0315cc69359,8440
0xcf8f1e6489d176856291437515e1423173b5b17e,8428
0xdd7b644044c047fd4fed98959609e7a50bc9e0ca,8300
0x4b64c95b1d08ef0efb626b3fbc8cdb6fd57972fe,8295
0x9509753d4c160cf5d3ef6f745366a1323f22ae52,8197
0x7f08d733a2c4e65e88975aef8f80fa694ef339c1,8122
0xdf897b3fab39cc81a61f6b0d44972bd089c0def4,8105
0xdd55c3a1da3b2eff63cda530c66dc291623ea4a7,8001
0x28fa299d649888ba74d2c9359adcdc4e36ae5c7a,7901
0xcfae7a3719dc66b5e4076bc1024abb0bc989c393,7886
0xbbffcee343edf3c0336dffc4fb1a50c03cb363b5,7755
0xe1df6bbd7d7a26b586c601ac17d4173b629a476d,7722
0x84697b48a1721dcbd404d75e2b245d6d510ffd5e,7703
0xb7e032c10d523a649d2f6f1b7bf7fc392ddb73d4,7595
0x18ed511810b8d77b8c0a7caadb510588d7ff2db3,7458
0x2275ab80532a8453a78be81ca04794467d4a22f8,7183
0x672e226dbf55787c23a3f5105f662ff42ebb391f,7151
0x862e4f235c43993914a2b464dc90cd0c9d5792c9,7071
0xc6e916cc4a1a35a04754da336144814dd0b76ef3,7030
0x7b51dd771399d164e2c8bc0e5edc693a392daf3f,7001
0x2426218746ee3d253dc5ecd2a8ec2bd2f975babc,7000
0x0640dfac6eaf253b32f3035fdecfde9ea8ec2fd8,6994
0x062a5145efb46851f5d7af68d7d45edb372e1192,6965
0x82b3b20e54b822e67a25e3fa572510173793c634,6928
0x54105cd60db26bb5c19826e816e76be9ae312aa7,6715
0x52a45ef0e7dcfd0a0a0c9c1855355891c727cf34,6633
0xf99f113c93ae764a94ae0add77991cafbadc6531,6604
0xc0ac6e7418ca8f3db06c7e3201a481cec0882f35,6553
0x41c9365fe85bc16d99c200edcf31f18c0a39e8e7,6500
0xf17c72959e42cc6f8e6ea09b0c7a45401fa1f93a,6476
0xb27daba294dcfd2fa8e2a16fb667eb787409bc86,6405
0x2f298e77ba4fd4c0b6878938f6b4071927954086,6401
0xfbe02fe2f3cf34ba292124611f3f524985c884b7,6382
0xff790deb32cfd908c94eb71299fd8d86a059a409,6362
0x53b7b812aae8ff94775919bd76c730ea0a6836ff,6356
0x26998c9915e49ae624fef6c18326fcef8f03e3b1,6325
0x018e6d6916981e5522514d76c8181331cb665f55,6286
0x11ededebf63bef0ea2d2d071bdf88f71543ec6fb,6269
0xf1a9ad2af110a8423d5d88060f39feb2cbe0d762,6189
0xc80fdaccc65dcd6ed030fc416190f1c2ab7b12ac,6183
0x6bedc20d252a1ae2371f250d569a6025da0222be,6153
0x8c9a359419b37520d87c9e55c04514a9b8549c72,6114
0x489fe769152a08115c9809d0aaa857d1e731b1ef,6102
0xbb25a43af4d4a9a11c8df7d41888ed9210337bbe,6058
0x0d79d022171778559c4672eed11b87e68b09bcb7,6013
0x7a0e03329d3aa05ce971f9a117117f87b6ee5bf3,6000
0x47b093c50e6f5911240173919cfcd744b577989c,6000
0x6b4bcd3e96febc893dd24b38326ca8f9276ea3a6,5992
0x13380fc9a2dd38caf424c78bdf9c3fc78e270afc,5969
0x8b9fc9710765a3af52630797c10278018ff20448,5908
0x8e83098e9951ea8bf353667b1b4818af56d2ace9,5839
0xa37965eb1d197bfefebe8dc66b09f7df0aabc43b,5734
0x64aeb22cf630553ca5b3213338c684a008a571b8,5472
0xd994ad9764781747ce07f27300161d9086d8488a,5431
0x04fd0c0d5a2fbf3cc541230052c7ac82439cbd37,5372
0xd5aef93e99df1cd19e580dbf92b144a19177cf4d,5360
0x3c8c80fb3c4d3337f904cf2ea195a158e8747361,5356
0x713239442018ac24d3e7f3ae1fd726ff7dc6b2a3,5338
0x5786b05e3b7ee260c766d4110a76d93598b6af16,5248
0xdfe7ad3e0cc6fb0798e66c67c72927c49fc42478,5132
0xe41277b8045ab83ca8a0233f4013808e7cebff42,5119
0x1760f1951f90f53cd2367a0d4efc4465c940593a,5092
0x68074b14472121ff69dd51eefabb6b904c887061,5066
0x297289405faf325d416658e93d93d0ade229528c,5000
0x28552ea8b232fc63d6ce69692d8a723efc5d4502,5000
0x8cab89fa802710d92ea99fceb67566a6457080cf,5000
0x5ee70ac2c4ed14cec2d4e34722ad0eb0b4ed71b0,5000
0xb8bddd9e7e737e97d88effad6fa4aeb7094f49ee,5000
0xfaef0059d3c3e2435ec95d865e76ea54c501449f,5000
0xbc71b78d468b09c415b0afe958b3267de5043c37,4986
0x6deeca153954df44f38e1dc76e127fd1e172ef97,4917
0x87ad92e892a86b2f636afa423c71ae44fad036c1,4895
0x320546116a1374b682bc7d15281db401111d65a9,4869
0xb79a65dbc22bd2286f0c290be7ae76fc7f437ac9,4835
0xbc05a906dbe32e01ecd189348aca5ffb393bc82b,4762
0x9139253e1e0c405db9a964fcf48a6ef83bea4264,4728
0xe51b6bc3782deb1f2798bbc72fe8c260767e8a2d,4724
0xa6a0b550700e9f2b1e6037b310addf3f1f2e9ac4,4700
0xd67e097a365aeddc59afbadcaddae9ad57552698,4698
0x0853978554e8871520368f205cb05c7cec0f6199,4662
0x07c854f3f45209b05bd58599318c97f5af45f130,4639
0x6ea7914217c6a53863a0e24296a3e509ee713a5f,4609
0x236e37f4aaf681b904e86be58f7db7562e9271f3,4602
0x06da2782844cc5f56c3c3f5d7427c553e1f4d5f0,4470
0x02d25a547f0b75dd6f96323f7319ef9b9f19e4fe,4455
0xeff9fc6a529c745569f0d041e076c332e5346df9,4435
0xc4ad382319c36d62c92f03131f3c475adbe15afe,4374
0xf2a31d72be710e9ca5ce6d54effcad93e639ed9e,4348
0x3da77f7a928abe1aa11ce76300317e373d29d64d,4348
0xc37a03c571fdf2ed7b4f599f1426cf2c14851c38,4340
0x00150e4225cd844c03649f248bd1b3393a15383e,4338
0xb6a162eae71ecbcc74d99ba27780d7ccbb4e76cd,4337
0x41e77db551575e3043c77e5a6ebc8ca2b3130299,4330
0x584fe5a3f9fa7bb588c9f6662164b53aa49fe6d2,4287
0x37e4468cc6483c54562fe34bdbec1ab547c14987,4190
0xa271d68b4d808cb60ab68eca70827b20cfc255ef,4171
0x658fd24f5e9b2aed0cc6ab875f66cdcf0e799551,4141
0x9b8bb15592e01a8dc78d983d5b4f17bfe90d0c65,4134
0xf210658f6ea6031622cc5a36062a5d0849c8326c,4129
0xc91cef1de053608602ececdf325bea31e25fbea1,4121
0xcef225fe69b9b9c26c12f615581d4f77f44ecd2d,4076
0x6201497012bea976b211e216c056a16e2dd38b7c,4053
0xb30dff089ae82419588bbe0cec9ceda46f6964ad,4038
0x68e409bec3fcd5008b91de8bbc8b0bdcdf429fc9,4033
0x74ec076c4262f94c1cb07eaa156134947fd2d2de,4029
0x562b58a2b346b309308471c3694df7de529fe8dc,4004
0x7d48d92727c1ba6a88ceaaec522481790483bbfd,4000
0x05e1e0e85756cde16309083dd223948b4f34b813,3962
0xeab638cd9ac706a6c1ea12d33c7344e1c1cb3d78,3962
0x0da33bfcd4a9ac26a9e162f59bbb69ace1c5bd96,3896
0x29186a4b45e21b6654373ca33a13873e9a15294d,3881
0x521c327131e9665b3b000c7d2e1d6bd57c7cdb88,3861
0x19c423a98894e133db20c062a6fa0fe3d0f496fc,3858
0xc864dbfd3cd906561e2c3705e8cc55a41c6a84b4,3852
0x7d81510ef626292f361e97708b6a618cae3ceead,3843
0xcab22a6116e65892e99e74568e3151bd2add4b3a,3833
0xfa3027474834083e65388a1c7ce43882db8c4618,3817
0x1d3bf13f8f7a83390d03db5e23a950778e1d1309,3748
0xf2078c58d6c38c893af4e40d7b09843ec3b7d26c,3728
0x8ea8827bbf057aa7fdcfa66844e90d04d9879f63,3723
0xca8eb4ef454b481301ef0ad9d53c0bbdf6dcdc29,3707
0x2e19a78b27bf1f45235a0f6d7596799a7e10f7bd,3639
0x5189c9d37210a0b81fe843a19c7daea853175af8,3628
0x7b8b8a1ecb4ee03007ae10e64d09d1281c25f9ba,3621
0xadedaeb9a9c38548fc781fd3914abb1b591544a8,3518
0xd9d28aaa5a98e1e455bb671cdf5b1ed894238d7c,3498
0x80530a15a95c0a1fa388e35752d2aa28b3fcc432,3477
0xc827d9d694a6ab7b4567fc9380662e5c2ee368f6,3471
0xef895d4ce357035a22f5eddf7158daca72be4721,3421
0x2208b0a1aa0b4755d3faf383a55b8265663c4b21,3400
0x0fc3900b71773ad53914a54244a00f59b83ac1de,3374
0x884b2737f355e1ae0c88609c10bf7bc2f761f815,3365
0x834190293f49cf33ce1196c6617e341d994d0b05,3360
0x8d9739d5afe534a853c2a2f09d7e7d8a4cae0f48,3353
0x7416e6e14eb884a2cb5cc6408053d4e4f30f86fa,3312
0xd7b7d1190ffa505fbf5a7a5b96909204aaef429e,3295
0xdb46b78e9c533ade197144a37104ff4d5d7269a7,3258
0xbcfcd2f2b61faba34e24496e83031ca90b6b46ae,3238
0xdf2e5c01d77771e86e3d4eec8e9c98358d2a17b3,3209
0x4493bb7375442430afccd32733d24ac722595ae6,3188
0x677f647dea49cf3c832f6ee0ec0affd255339ff1,3172
0xbac42c9b32e574f41b86e20fba0cf479a5a1ca58,3166
0x822f299a7290e1faaaa7e40031a3fcea856507d8,3159
0x82c63c3d7153a61e072d27cf878351fd2f7d7785,3152
0xac429f4c02aeef1b0366340bb28b6328a7aaf387,3127
0x87a0b04666425705115f2794073ef3535a94f75e,3114
0x035fc3b0ec2487c1c9def561f578ec77a06b1b12,3093
0x2d8e4dcaec4e5ed430bf4f40f17c562523b9948e,3025
0x885a62207a305ec6650b2a8b960e18b61d2f3d37,3001
0xecee481e0d247546c72054d3f1b200b8bea1b641,3000
0x2c80021d58c6dea516dbc808d2ca473d142b1e01,3000
0x0ce27dd36cb385e7022df2c797e4d147b2a72dca,3000
0xf6984ec3f99801a521b3c497b9189b48aaeb0161,2999
0xcfa95029ddd232513dfb95c9790574ea118412be,2998
0x5014fefdce100a182bcf2752406d2efb3781de55,2995
0x7b2cebbb734aae3ca670b0ade14035e78e4f20f5,2992
